S56,Artykuly spozywcze,Dania gotowe,Pierogi,Pierogi z miesem,szt,1,0.44,0.05,0.419047619
S57,Artykuly spozywcze,Dania gotowe,Pierogi,Pierogi ruskie,szt,1,0.26,0.05,0.247619048
S58,Artykuly spozywcze,Dania gotowe,Pierogi,Pierogi z kapusta i grzybami,szt,1,0.36,0.05,0.342857143
S59,Artykuly spozywcze,Dania gotowe,Pierogi,"Pierogi z kurczakiem, szpinakiem, serem feta",szt,1,0.8,0.05,0.761904762
S60,Artykuly spozywcze,Dania gotowe,Pierogi,Pierogi ze szpinakiem i serem ricotta,szt,1,0.44,0.05,0.419047619
S61,Artykuly spozywcze,Dania gotowe,Pierogi,Pierogi z soczewica,szt,1,0.2,0.05,0.19047619
S62,Artykuly spozywcze,Dania gotowe,Pierogi,Pierogi z lososiem i camembertem,szt,1,1,0.05,0.952380952
S63,Artykuly spozywcze,Dania gotowe,Pierogi,Pierogi z suszonymi pomidorami i serem mozzarella,szt,1,1,0.05,0.952380952
S64,Artykuly spozywcze,Dania gotowe,Pierogi,Pierogi z twarogiem,szt,1,0.34,0.05,0.323809524
S65,Artykuly spozywcze,Dania gotowe,Pierogi,Pierogi z jagodami,szt,1,0.65,0.05,0.619047619
S66,Napoje,Wina,Wina czerwone,Wino czerwone,l,1,17,0.23,13.82113821
S67,Napoje,Wina,Wina biale,Wino biale,l,1,17,0.23,13.82113821
S68,Napoje,Wina,Wina rozowe,Wino rozowe,l,1,17,0.23,13.82113821
S69,Napoje,Piwa,Piwo beczkowe,Perla 30l,l,30,147.28,0.23,119.7398374
S70,Napoje,Piwa,Piwa butelkowe,Piwa butelkowe,l,0.5,2.99,0.23,2.430894309
S71,Napoje,Piwa,Piwa butelkowe,Ko?lak 330 ml,l,0.33,1.97,0.23,1.601626016
S72,Napoje,Napoje gazowane,Slodzone,Cocal cola 200 ml,l,0.2,1.91,0.23,1.552845528
S73,Napoje,Napoje niegazowane,Slodzone,Capi rozne rodzaje,l,0.25,1.77,0.05,1.685714286
S74,Napoje,Napoje gazowane,Slodzone,Sprite 250 ml,l,0.25,1.77,0.23,1.43902439
S75,Napoje,Napoje gazowane,Slodzone,Fanta 250 ml,l,0.25,1.77,0.23,1.43902439
S76,Napoje,Napoje niegazowane,Wody,Kropla beskidu,l,0.33,1.66,0.23,1.349593496
S77,Napoje,Napoje niegazowane,Slodzone,Fuze tea ,l,0.25,1.77,0.23,1.43902439
S78,Napoje,Wina,Inne,Prosecco,l,0.75,20,0.23,16.2601626
S79,Pieczywo ciasta ciastka,Pieczywo,Pieczywo jasne,Bulka fit,szt,1,0.99,0.05,0.942857143
S80,Pieczywo ciasta ciastka,Pieczywo,Pieczywo jasne,Bulka pycha,szt,1,0.89,0.05,0.847619048
S81,Pieczywo ciasta ciastka,Pieczywo,Pieczywo jasne,Bulka pozna?ska,szt,1,0.49,0.05,0.466666667
S82,Pieczywo ciasta ciastka,Pieczywo,Pieczywo jasne,Bulka kajzerka,szt,1,0.29,0.05,0.276190476
S83,Pieczywo ciasta ciastka,Pieczywo,Pieczywo jasne,Bulka poranna,szt,1,0.64,0.05,0.60952381
S84,Pieczywo ciasta ciastka,Pieczywo,Pieczywo jasne,Bagietka rustykalna,szt,1,2.99,0.05,2.847619048
S85,Pieczywo ciasta ciastka,Pieczywo,Pieczywo jasne,Polbagietka,szt,1,1.19,0.05,1.133333333
S86,Mieso wedliny kielbasy,Wedliny,Drobiowe,Wedlina drobiowa,kg,1,23.9,0.05,22.76190476
S87,Warzywa Owoce Ziola,Salaty i ziola,Salaty pakowane,Roszponka,kg,0.1,4.99,0.05,4.752380952
S88,Napoje,Kawy i herbaty,Herbaty,Aromatyzowana zielona,kg,1,80,0.23,65.04065041
S89,Napoje,Kawy i herbaty,Herbaty,Herbata owocowa,kg,1,80,0.23,65.04065041
S90,Napoje,Kawy i herbaty,Herbaty,Herbata czarna,kg,1,80,0.23,65.04065041
S91,Artykuly spozywcze,Dania gotowe,Beszamele,Beszamel,szt,1,6,0.05,5.714285714
